NO,LICENCE NUMBER,NAME OF PHARMACY,TYPE,LOCATION,MMDA,REGION
2714,PC/AS/R/0059A,PEEVIS PHARMACY LTD.,Retail,"PLOT NO. 1, BLOCK 6 MAMPONG ROAD OLD TAFO KUMASI",KMA,Ashanti
2715,PC/AS/WR/0574L,PEKO PHARMACYLTD,Wholesale/Retail,"PLOT 12, BLOCK P/Q - NEAR KOMFO ANOKYE PREPARATORY
SCHOOL TAFO NHYIAESO",KMA,Ashanti
2716,PC/AS/WR/0051E,PENAK PHARMACY LTD.,Wholesale/Retail,"H/NO. KO3, KUMASI-OFFINSO ROAD  KODIE",KMA,Ashanti
2717,PC/BA/WR/0042F,PENDMIK PHARMACY LTD.,Wholesale/Retail,"PLOT 135, BLOCK 16,  ADJACENT RAFCHIK HOSPITAL SUNYANI-
ABESIM RD. ABESIM",SUNYANI,Brong Ahafo
2718,PC/GR/R/0306J,PENIEL PHARMACY,Retail,"H/NO. DA/AO/001 TERRAZZO JUNCTION OSORSHIE
DAWHENYA DAWHENYA",NINGO PRAMPRAM,Greater Accra
2719,PC/AS/R/0573L,PENRI PHARMACY,Retail,"H/NO. 17, BLOCK O - AHODWO KUMASI",KMA,Ashanti
2720,PC/GR/R/0349P,PENUEL PHARMACY LTD,Retail,H/NO. 18 ATUASI HILL STREET - ANYAA,GA CENTRAL,Greater Accra
2721,PC/GR/R/0276P,PEOPLE CHOICE PHARMACY,Retail,H/NO. 10 HIGH TENSION LANE - FISE,GA WEST,Greater Accra
2722,PC/AS/R/0158E,PEOPLE PHARMACY LTD.,Retail,"PLOT 8, BLOCK N, - NEAR ADOM CLINIC SANTASI",KMA,Ashanti
2723,PC/BA/R/0277K,PEPWAY PHARMACY,Retail,H/NO. JK 57/A - AGOZO AREA SUNYANI,SENE EAST,Brong Ahafo
2724,PC/GR/WR/00635,PERFBAAB PHARMACY LTD.,Wholesale/Retail,"H/NO. C 370/10,  HIGH STREET AYAWASO, OPPOSITE
KOTOBABI POLICE STATION ACCRA",AMA,Greater Accra
2726,PC/GR/R/0488K,PERFECT HANDS HEALTHCARE SE,VReICtEaSil LIMITED,"H/NO. 66 BUADUWAA STREET NEW SEBREPOR MATEHEKO
AFIENYA",NINGO PRAMPRAM,Greater Accra
2727,PC/GR/R/0327P,PERFECT PHARMA SOLUTIONS,Retail,GM-052-9648 NII KODIA STREET SAKORA ADENTA,ADENTAN,Greater Accra
2728,PC/VR/R/0173J,PERFECT PS PHARMACY LIMITED,Retail,H/NO 50 HOSPITAL ROAD NSUTA KETE-KRACHI,KRACHI WEST,Volta
2729,PC/GR/R/0407L,PERFECT WELLNESS PHARMACY C,RMetPaAilNY LIMITED,"GC-143-827 AWOSHIE-[OKUASE HIGHWAY - ABLEKUMA
OLEBU",GA CENTRAL,Greater Accra
2730,PC/GR/R/0434P,PERU PHARMACY LTD,Retail,FRIMPS AVENUE - COMMUNITY 19 LASHIBI,TMA,Greater Accra
2731,PC/GR/R/00134,PESCA CHEMIST,Retail,H/NO. 33 MANTSE KWAO STREET MAMPROBI ACCRA,AMA,Greater Accra
2732,PC/GR/R/0116E,PETLA PHARMACY LTD.,Retail,"H/NO. BLK 28B, SSNIT FLATS SITE B, TEMA",TMA,Greater Accra
2733,PC/CR/WR/0103L,PETROS HILL PHARMACY LTD,Wholesale/Retail,"PLOT 3, BLOCK 5 TEXACO HOSPITAL ROAD TEXACO AGONA
SWEDRU",AGONA WEST,Central
2734,PC/GR/R/00589,PEVED PHARMACY LTD.,Retail,"H/NO. 19, BOADE ROAD NUNGUA ACCRA",LEDZOKUKU-KROWOR,Greater Accra
2735,PC/AS/W/0377K,PFA PHARMACY LTD,Wholesale,"PLOT 10, BLOCK B NEW ROAD TAFO MILE 3 KUMASI",KMA,Ashanti
2736,PC/GR/R/0225M,PFAGO CHEMISTS LIMITED,Retail,LUCIANNA BOULOVARD - ADJIRINGANOR ACCRA,ADENTAN,Greater Accra
2737,PC/GR/WR/00276,PFAGO CHEMISTS LTD.,Wholesale/Retail,"LEGON HALL ANNEX ""B"" UNIV. OF GHANA, LEGON ACCRA",GA EAST,Greater Accra
2738,PC/GR/R/00150,PFAGO CHEMISTS LTD.,Retail,"H/NO. 100/5  AGBOTUI MADINA, AGBOTUI",LA NKWANTANANG-MADINA,Greater Accra
2741,PC/GR/R/0225N,PH ANFORD CHEMIST LTD,Retail,GA-579-8593 OBLI KWASHIE LANE BAAH YARD AWOSHIE,GA CENTRAL,Greater Accra
2742,PC/GR/R/0321P,PH ANFORD CHEMIST LTD,Retail,"GA-532-5173 NII TETTEH MACLEAN AVENUE RUSSIA
JUNCTION ODORKOR",AMA,Greater Accra
2743,PC/ER/R/0325J,PH PHARMACY LIMITED,Retail,H/NO. A 200 AKYENFO ROAD MAAME KROBO MAAME KROBO,KWAHU AFRAM PLAINS SOUT,Eastern
2744,PC/CR/R/0090L,PHARMA DE PABLOE LTD. ANNEX,Retail,H/NO. 1 - CENTRAL CAMPUS WINNEBA,EFFUTU,Central
2745,PC/GR/R/0035L,PHARMA GEORGE,Retail,H/NO. 1 6TH STREET - OSU,SHAI-OSUDOKU,Greater Accra
2746,PC/GR/R/0037L,PHARMA GEORGE CHEMIST,Retail,"PLOT 14 HAATSO ROAD NEAR GAEC POLICE STATION
KWABENYA",GA EAST,Greater Accra
2747,PC/GR/R/00895,PHARMA GEORGE CHEMIST,Retail,"H/NO. 17 MAIN KWABENYA ROAD REGIMANUEL ESTATE
KWABENYA",GA EAST,Greater Accra
2748,PC/AS/R/0208E,PHARMA LAUD K,Retail,"PLOT 1, BLK. 1  BENIMASI - BOADI",KMA,Ashanti
2749,PC/AS/R/00277,PHARMA LAUD K. LTD,Retail,H/NO. 118 KOTEI ROAD KOTEI KUMASI,KMA,Ashanti
2750,PC/AS/W/0371K,PHARMA LAUD K. LTD,Wholesale,"H/NO. 13 & 14, BLOCK 111 - BENIMASI BOADI",KMA,Ashanti
2751,PC/GR/R/0188L,PHARMABAY LTD,Retail,"H/NO 21 H/NO 21,KORTTAM ESTATE - TEIMAN",ADENTAN,Greater Accra
2752,PC/GR/WR/0066D,PHARMACHEM LTD,Wholesale/Retail,H/NO. 090A EL-SHADDAI FISE AMASAMAN,GA WEST,Greater Accra
2753,PC/CR/R/0102B,PHARMACY DE PABLOE LTD.,Retail,H/NO. SE 8/1 COMM ROAD LOCUST JUNCTION WINNEBA,EFFUTU,Central
2754,PC/CR/WR/0162H,PHARMACY DE PABLOE LTD.,Wholesale/Retail,H/NO. 111/2 SWEDRU ROAD ASEBU MARKET GOMOA-ASEBU,EFFUTU,Central
2755,PC/GR/WR/0017M,PHARMACY DIRECT LTD,Wholesale/Retail,H/NO. 24 LANE DWAHE ADENTA CLINIC ADENTA,ADENTAN,Greater Accra
2756,PC/GR/R/0239J,PHARMACY ROYALE LIMITED,Retail,"UNN. HSE, ACACIA BUILDING 5th CIRCULAR ROAD
CANTONMENTS ACCRA",LA DEDE-KOTOPON,Greater Accra
2757,PC/GR/W/0428L,PHARMAFEN GHANA LIMITED,Wholesale,"H/NO. 04913 KNUSTFORD AVENUE UT BANK PREMISES
ACCRA CENTRAL",AMA,Greater Accra
2758,PC/GR/R/0219J,PHARMAGEORGE CHEMIST LIMIT,RDetail,H/NO M 98/4 KEKELE KEKELE MADINA,LA NKWANTANANG-MADINA,Greater Accra
2759,PC/GR/R/0080J,PHARMAGEORGE CHEMIST LTD,Retail,H/NO. 14 FIRST ROAD MILE 7 NEW ACHIMOTA,GA WEST,Greater Accra
2760,PC/GR/R/0099C,PHARMAGEORGE CHEMIST LTD.,Retail,"H/NO. 4, BREKUSU KWABENYA RD. - KWABENYA",GA EAST,Greater Accra
2761,PC/GR/W/0100C,PHARMAGEORGE CHEMIST LTD(D,WMhEo lBeRsaAlNeCH),"H/NO. 1A, DOME-KWABENYA ROAD - DOME",GA EAST,Greater Accra
2762,PC/GR/R/00049,PHARMAGEORGE PHARMACY LT,Retail,NEAR OBAAHEMA CLINIC ASHONGMAN ACCRA,GA EAST,Greater Accra
2763,PC/AS/WR/0171K,PHARMALEADS LIMITED,Wholesale/Retail,PLOT 8F - - APAGYA,AFIGYA-KWABRE,Ashanti
2764,PC/GR/R/00579,PHARMALOT CHEMISTS LTD,Retail,H/NO. B 59 KWABENYA ROAD KWABENYA ACCRA,GA EAST,Greater Accra
2765,PC/NR/W/0093K,PHARMANOVA LTD,Wholesale,H/NO. KAL 132 DAKPEMA STREET LAMASHIEGU TAMALE,TAMALE,Northern
2766,PC/GR/MW/0025E,PHARMANOVA LTD.,Manufacturing W,"oHl/eNsaOl.e 3, OKODAN STREET OSU MANHEAN ACCRA",AMA,Greater Accra
2767,PC/AS/W/0050C,PHARMANOVA LTD.,Wholesale,"H/NO. 3, KOFI ADOMAKO STREET ASOKWA KUMASI",KMA,Ashanti
2768,PC/GR/R/00325,PHARMASOURCE PHARMACY LTD,Retail,"DARKUMAN HIGH ST OFFICIAL TOWN ROAD DARKUMAN
ACCRA",AMA,Greater Accra
2769,PC/GR/W/0105K,PHARMASYMBIOSIS LTD,Wholesale,"H/NO. 13 KOFI ASANTE OFORI-ATTA ROAD AIRPORT WEST
ACCRA",AMA,Greater Accra
2770,PC/WR/WR/0058C,PHARMATAB PHARMACY LTD.,Wholesale/Retail,"PLOT 5, ADIEMBRA ROAD BAKAKYIR SECONDI",SEKONDI-TAKORADI,Western
2771,PC/GR/WR/0343L,PHARMATRUST LIMITED,Wholesale/Retail,H/NO. C-143 NII OKAIMAN STREET - LAPAZ,AMA,Greater Accra
2772,PC/CR/WR/00031,PHARMATRUST LTD.,Wholesale/Retail,FILLING STATION OBOOM ROAD KASOA KASOA,AWUTU SENYA,Central
2773,PC/GR/WR/0132B,PHARMATRUST LTD. (MALLAM B,AWNhCoHle) sale/Retail,UNN STORE - NR. LORRY STATION MALLAM,GA SOUTH,Greater Accra
2774,PC/GR/R/0158F,PHARMATRUST PHARMACEUTICA,RSe LtTaDil,"H/NO. C57/22, ACHIMOTA EAST AFRIYIE RD, - ACHIMOTA-
ACCRA",AMA,Greater Accra
2775,PC/GR/WR/0047A,PHARMATRUST PHARMACY,Wholesale/Retail,"SCC STREET WEIJA, BEHIND GICEL POLICE STATION ACCRA",GA SOUTH,Greater Accra
2776,PC/CR/WR/0043M,PHARMATRUST PHARMACY,Wholesale/Retail,UNN. STORE - OPPOSITE POLYCLINIC KASOA,AWUTU SENYA EAST,Central
2777,PC/GR/WR/0233N,PHARMATRUST PHARMACY,Wholesale/Retail,GM-032-8391 - JJ RAWLINGS AVENUE MADINA,LA NKWANTANANG-MADINA,Greater Accra
2778,PC/GR/W/0428P,PHARMATRUST PHARMACY,Wholesale,H/NO. 1/221 NII ATANYA ROAD TULAKU ASHAIMAN,ASHIAMAN,Greater Accra
2779,PC/CR/WR/0121K,PHARMATRUST PHARMACY,Wholesale/Retail,ACCRA - CAPE COAST HOGHWAY OLD MARKET KASOA,AWUTU SENYA EAST,Central
2780,PC/CR/R/0168K,PHARMATRUST PHARMACY,Retail,H/NO. KM 35/9 OPPOSITE PUMA KAEMEBRE KASOA,AWUTU SENYA EAST,Central
2781,PC/GR/R/0262K,PHARMATRUST PHARMACY,Retail,"PLOT NO. 771, BLOCK 8 ACCRA-MALLAM HIGHWAY AI
ENERGY FILLING STATION ODORKOR",GA SOUTH,Greater Accra
2782,PC/GR/R/0311K,PHARMATRUST PHARMACY,Retail,"PLOT BC 215 ACCRA-KASOA HIGHWAY BROADCASTING
JUNCTION NEW BORTIANO",GA SOUTH,Greater Accra
2783,PC/GR/R/0081M,PHARMATRUST PHARMACY,Retail,UNN STORE - NII BOI TOWN JUNCTION LAPAZ,AMA,Greater Accra
2784,PC/CR/WR/0148H,PHARMATRUST PHARMACY ( AM,WNFhRoOleMsa BleR/ARNetCaHil ),"UN NUMBERED BUILDING KASOA CAPE COAST HIGHWAY
AMANFROM KASOA AMANFROM",AWUTU SENYA,Central
2785,PC/GR/WR/0017P,PHARMATRUST PHARMACY (TES,IWE NhoUlNesGaUleA/)Retail,UNN STORE MAIN ROAD - TESHIE,,Greater Accra
2786,PC/WR/W/0424P,PHARMATRUST PHARMACY LTD,Wholesale,H/NO. 24 KOFI ANNAN ROAD MARKET CIRCLE TAKORADI,SEKONDI-TAKORADI,Western
2787,PC/CR/WR/0389K,PHARMATRUST PHARMACY LTD,Wholesale/Retail,H/NO. KS 135C - OPPOSITE NEW TIMERS HOTEL KASOA,AWUTU SENYA EAST,Central
2788,PC/AS/R/00041,PHARMAX (GH) LTD,Retail,H/NO. BA 131 HIGH STREET BANTAMA KUMASI,KMA,Ashanti
2789,PC/GR/WR/0013A,PHARMHAUS CHEMIST LTD,Wholesale/Retail,"H/NO. 103, - LYNDY, ADENTA",ADENTAN,Greater Accra
2790,PC/GR/R/0190N,PHARMPLUS PHARMACY LTD,Retail,"H/NO. A2340/82 PINE STREET STREET RACE COURSE
SOWUTUOM",GA CENTRAL,Greater Accra
2791,PC/GR/R/0149G,PHARMRITE PHARMACY LTD.,Retail,"SHOP NO. 3, JES BUILDING, DODOWA MAIN RD, - MALEJOR",ADENTAN,Greater Accra
2792,PC/GR/R/0313P,PHEELIX PHARMACY LTD,Retail,H/NO. 12 RUPEE STREET - LAPAZ,AMA,Greater Accra
2793,PC/GR/R/0631L,PHENOM PHARMACY LTD,Retail,UNN. HSE. TERAZZO JUNCTION DAWHENYA,NINGO PRAMPRAM,Greater Accra
2794,PC/GR/R/00908,PHERSONS PHARMACY,Retail,"H/NO. ASH/B/004 ABURI ROAD ABUOM JUNCTION
KWABENYA",GA EAST,Greater Accra
2795,PC/GR/R/0420H,PHERSONS PHARMACY LTD.,Retail,"UNNUMBERED HOUSE  NEAR OVERHEAD BRIDGE ACHIMOTA
OLD TAXI RANK ACHIMOTA",AMA,Greater Accra
2796,PC/GR/WR/0082B,PHERSONS PHARMACY LTD. (ISRA,WL holesale/Retail,UNN. STORE - ISRAEL TABORA ACCRA,AMA,Greater Accra
2797,PC/WR/WR/0205K,PHILFBEST PHARMA LTD,Wholesale/Retail,H/NO. AP 1/10E - APOWS SEFWI DWINASE,SEFWI WIAWSO,Western
2798,PC/GR/IW/0010J,PHILLIPS PHARMACEUTICAL (GHA,ImA)p LoIrMtiInTgE DWholes,"PLOT NO. 251-A OSHIMPA STREET NEAR LIGHT HOUSE
CleHURCH NORTH KANESHIE",AMA,Greater Accra
2799,PC/GR/R/0076D,PHILTA PHARMACY,Retail,"H/NO. 222, AUNTIE MARY RD, OSMAN STORES, PILLAR 2
DOME",GA EAST,Greater Accra
2800,PC/GR/IW/0026A,PHINAS PHARMA LTD.,Importing Wholes,Hle/NO. 3 - NUNGUA-SPINTEX ACCRA,TMA,Greater Accra
2801,PC/AS/R/0124L,PHRANISCA PHARM LTD,Retail,"PLOT 8A, BLOCK 11 BAKANA STREET - ANTOA OFFINSO",OFFINSO,Ashanti
2802,PC/GR/MW/00006,PHYTO-RIKER (GIHOC) PHARM. LT,M. anufacturing W,oAlCeCsaRlAe-NSAWAM ROAD MILE 7 ACHIMOTA,GA WEST,Greater Accra
2803,PC/AS/MW/00003,PHYTO-RIKER(GIHOC) PHARMACE,MTIaCnAuLfSacturing W,"oHl/eNsaOl.e 01, EXT. PLT.2, BLK. 4 NEW ASHTOWN STR. - KUMASI",KMA,Ashanti
2804,PC/WR/WR/0192L,PIDA CHEMIST,Wholesale/Retail,H/NO. H79/80A 4TH AVENUE NEW COMPOUND BIBIANI,BIBIANI-ANHWIASO BEKWAI,Western
2805,PC/AS/WR/0132E,PIDA CHEMIST LTD.,Wholesale/Retail,"STORE 1,  SHELL SERVICE STATION BANTAMA KUMASI",KMA,Ashanti
2806,PC/AS/R/0132E,PIDA CHEMIST LTD.,Retail,"H/NO. BE 1A,  OBUASI-ASOKWA JXN RD, - BOETE",OBUASI,Ashanti
2807,PC/BA/WR/0049F,PIDA CHEMIST LTD.,Wholesale/Retail,"H/NO. D38/4,  MELCOM STREET - SUNYANI",SUNYANI,Brong Ahafo
2808,PC/GR/R/0092J,PILL BAY PHARMACY,Retail,H/NO. 100 TELECOM - GBAWE,GA SOUTH,Greater Accra
2809,PC/GR/R/0004L,PILL PACK PHARMACY LIMITED,Retail,GOIL SERVICE STATION NEAR SHALOM SPOT LASHIBI,TMA,Greater Accra
2810,PC/GR/R/0378L,PILL PLUS PHARMACY,Retail,TOP OIL SERVICE STATION - - ADJEI KOJO,ASHIAMAN,Greater Accra
2811,PC/GR/R/0082M,PILL RACK PHARMACY,Retail,H/NO. 6 JUNGLE AVENUE EAST LEGON ACCRA,AMA,Greater Accra
2812,PC/GR/W/0398L,PILLCARE PHARMACY LIMITED,Wholesale,UNN STORE BOUNDARY ROAD - EAST LEGON,LA NKWANTANANG-MADINA,Greater Accra
2813,PC/BA/R/0156P,PILLCHECK PHARMACY LTD,Retail,PLOT E/56 ABESIM ROAD - SUNYANI,SUNYANI,Brong Ahafo
2814,PC/AS/WR/0100N,PILLMARK PHARMACY LTD,Wholesale/Retail,PLOT KK/10/A KWABENAKWA ASOKWA ROAD - OBUASI,OBUASI,Ashanti
2815,PC/AS/R/0190G,PILLMART PHARMACY,Retail,H/NO. PLOT 6 BLOCK J - KUMASI AHINSAN,KMA,Ashanti
2816,PC/AS/R/0176N,PILLMART PHARMACY LTD,Retail,AK-251-4979 - SG MALL AYIGYA,KMA,Ashanti
2817,PC/GR/R/00153,PILLPOINT PHARMACY,Retail,H/NO. NEAR C174/29 - MEMPEASEM EAST LEGON ACCRA,AMA,Greater Accra
2818,PC/AS/WR/0130A,PILLPOINT PHARMACY,Wholesale/Retail,"H/NO. BU 2 SANTASI-OBUASI ROAD ATWIMA BROFOYEDURU
AHENEMA KOKOBIN",ATWIMA KWANWOMA,Ashanti
2821,PC/GR/R/0177B,PILLPOINT PHARMACY,Retail,"H/NO. 4220,SOUTH MACHARTHY, - OPP. ECOBANK MALLAM
JUNCTION, WEIJA",GA SOUTH,Greater Accra
2822,PC/GR/R/0085D,PILLPOINT PHARMACY .,Retail,"H/NO. A. 29/5, LAST STOP CHEMUENA CHORKOR",AMA,Greater Accra
2823,PC/GR/W/0303P,PILLS & TAB,Wholesale,"PLOT 5, BLOCK 10- TETTEH QUARSHIE LEGON LEGON",AMA,Greater Accra
2824,PC/GR/R/0229E,PILLS & TABS PHARMACY,Retail,"NEAR GLORY OIL  STATION, SPINTEX RD, - BATSONA",LEDZOKUKU-KROWOR,Greater Accra
2825,PC/GR/R/0209C,PILMAR PHARMA LTD,Retail,H/NO. 4/24 SF OKPOTI ADJEI ROAD - SOUTH FRAFRAHA,ADENTAN,Greater Accra
2826,PC/AS/R/0310K,PINACLE PHARMACY LIMITED,Retail,PLOT 5 AKONANSA STREET - APUTUOGYA,BOSOMTWE,Ashanti
2827,PC/AS/R/0131L,PINNACLE PHARMACY LTD,Retail,"PLOT 23/24, BLOCK S - NORTH KWADASO KUMASI",KMA,Ashanti
2828,PC/GR/R/0036N,PITCH CHEMIST LIMITED,Retail,"GZ-130-9255, TESHIE",LA NKWANTANANG-MADINA,Greater Accra
2829,PC/GR/R/00577,PIU-VITA PHARMACY,Retail,"TESHIE CAMP(2) TWO, OPP, BLOCK FACTORY ACCRA TESHIE",LEDZOKUKU-KROWOR,Greater Accra
2830,PC/CR/WR/0384H,PJ & C CHEMISTS (GH) LIMITED,Wholesale/Retail,PLOT 14 ADADE ROAD KAKRABA GOMOA NYANYANO,AWUTU SENYA,Central
2831,PC/GR/R/0168L,PJ PHARMACY LTD,Retail,GS-0104-2422 TOP BASE ROAD - GBAWE,GA SOUTH,Greater Accra
2832,PC/AS/R/0118A,PLAN HEALTH PHARMACY LTD.,Retail,"H/NO. NTER 277 FNT, O. A. STREET, FANTE NEW TOWN
KUMASI",KMA,Ashanti
2833,PC/WR/R/0196L,PLATINUM-P CARE PHARMACY,Retail,H/NO. 27 GOLG FIELD MINING VILLAGE ROAD - TARKWA,TARKWA-NSUAEM,Western
2834,PC/NR/R/0120M,PLUSCARE PHARMACY,Retail,"H/NO. 240B KARAGA AVENUE ADI DAARUL TUNAAYILI
KANVILL",SAGNERIGU,Northern
2835,PC/BA/R/0205P,PNEUNA PHARMACY LTD,Retail,"H/NO SRC 74, BAAKONIABA",SUNYANI,Brong Ahafo
2836,PC/GR/W/00184,PNT PHARMACY,Wholesale,"PLOT NO. 52 FORMER KINGSWAY BUILDING AWUDOME
ACCRA",AMA,Greater Accra
2837,PC/GR/R/0039A,PNT PHARMACY LTD,Retail,"PLOT NO. DUNKONA,SHOPPING MALL ADJACENT MELCOM
WEIJA N/A",AMA,Greater Accra
2838,PC/GR/WR/00122,PNT PHARMACY LTD.,Wholesale/Retail,H/NO. 48 PALACE STREET NORTH KANESHIE ACCRA,AMA,Greater Accra
2839,PC/GR/R/0636L,POINT OF CARE PHARMACY LTD,Retail,"GE-058-2878 HINE SCHOOL STREET ABOKOBI-BOI
ASHONGMAN",GA EAST,Greater Accra
2840,PC/GR/R/0200J,POINT RIGHT PHARMACY LIMITE,Retail,H/NO 30 SATELITE SATELITE-KUTUNSE KUTUNSE,GA WEST,Greater Accra
2841,PC/AS/R/0141J,POKLINA PHARMACY LIMITED,Retail,"PLOT JMS 17, BLOCK D - HIGH TENSION EJISU-JAMASI",EJISU-JUABENG,Ashanti
2842,PC/AS/R/00206,POKLINA PHARMACY LTD.,Retail,"PLOT 27, BLOCK. A SAWABA - KUMASI",KMA,Ashanti
2843,PC/GR/R/0131B,POKUASE PHARMACY,Retail,H/NO. 75 AYAWASO ROAD POKUASE ACCRA,GA WEST,Greater Accra
2845,PC/GR/R/0249J,POKUASE PHARMACY(ANNEX),Retail,"UNN. HSE, POKUASE-AWOSHIE SHELL POKUASE-AWOSHIE
ROAD AYAWASO AYAWASO",GA WEST,Greater Accra
2846,PC/AS/MW/0241M,POKUPHARMA LTD,Manufacturing W,"oPlLeOsTa l1e2, FEMUSUA",EJISU-JUABENG,Ashanti
2847,PC/CR/WR/0145E,POMA PHARMACY LTD.,Wholesale/Retail,"H/NO. DW 211/11, MANDELA STREET - AGONA SWEDRU",AGONA WEST,Central
2848,PC/AS/WR/00084,PORTER PHARMACEUTICALS LTD.,Wholesale/Retail,H/NO. ZE.172 ZARIKYI STREET ALLA BAR ZONGO ALLA BAR,KMA,Ashanti
2849,PC/GR/W/00003,POTER'S PHARMACY,Wholesale,H/NO. 763/4 KIMBU AVENUE OKAISHIE ACCRA,AMA,Greater Accra
2850,PC/CR/R/00012,POWER SHOWER PHARM LTD.,Retail,H/NO. I. 36 ODA ROAD - SWEDRU,AGONA EAST,Central
2851,PC/GR/WR/0602K,POWER SHOWER PHARMACY (C.,0W BhRo.l)esale/Retail,"PLOT NO. 53, ADJACENT ECG COLLECTION POINT, COMM 20,
TEMA",TMA,Greater Accra
2852,PC/CR/WR/0510K,PP PHARMACY LTD,Wholesale/Retail,"H/NO. KZ 46/3, NYANYANO",GOMOA EAST,Central
2853,PC/CR/WR/0513K,PRAK  AND DAUGHTERS PHARMA,WY holesale/Retail,"H/NO. EK 51, BREMAN ASIKUMA",ASIKUMA-ODOBEN BRAKWA,Central
2854,PC/CR/WR/0088M,PRAK AND DAUGTHERS PHARMA,YWholesale/Retail,STORE 2 & 3 ECG STREET - AJUMAKO,AJUMAKO-ENYAN-ESSIAM,Central
2855,PC/GR/R/0264K,PRECIOUS BALM PHARMACY,Retail,TAXI RANK KLALA STREET OKPOI GONO TESHIE,LEDZOKUKU-KROWOR,Greater Accra
2856,PC/AS/R/0013E,PREMBLESS PHARMACY,Retail,"H/NO.AE 38, DOMEABRA APROMASE STREET - APROMASE",EJISU-JUABENG,Ashanti
2857,PC/GR/R/0018F,PREMIER PHARMACY LTD.,Retail,"H/NO. 7,  FLOWER STREET - CHANTAN",GA CENTRAL,Greater Accra
2858,PC/GR/WR/00193,PREMIER POINT CHEMISTS,Wholesale/Retail,H/NO. F183/8 MAIN LABONE ROAD NORTH LABONE ACCRA,LEDZOKUKU-KROWOR,Greater Accra
2859,PC/WR/R/0467L,PREMIUM HEALTH PHARMACY,Retail,H/NO. 612 AXIM ROAD ESIKAFOANBANTEM NO. 2 TAKORADI,SEKONDI-TAKORADI,Western
2860,PC/GR/R/0089J,PREMIUM PHARMACY,Retail,H/NO. 87 EAST CHRISTIANBORG ESTATE - OSU,SHAI-OSUDOKU,Greater Accra
2861,PC/CR/WR/0042L,PRESCRIPTION PLUS PHARMACY,Wholesale/Retail,H/NO. PT 119 ADDISON STREET GREEN HILL CAPE COAST,CAPE COAST,Central
2862,PC/GR/R/0405K,PRIJOPHARMA COMPANY LTD,Retail,H/NO. 211 - LAMII DWAAHE ADENTA STATION,ADENTAN,Greater Accra
2863,PC/CR/WR/0202N,PRIMAR PHARMACY,Wholesale/Retail,H/NO. 214 OBOM ROAD - KASOA,AWUTU SENYA EAST,Central
2864,PC/ER/R/0340K,PRIMASH PHARMACY LTD,Retail,EA-0326-8446 AKOSOMBO ROAD DOWN TOWN NEW POWN,ASUOGYAMAN,Eastern
2865,PC/GR/R/0263K,PRIME HEALTH PHARMACY,Retail,PLOT 47 LOMNAVA  ROMAN HILL SOWUTUOM,GA CENTRAL,Greater Accra
2866,PC/GR/R/0068J,PRIME HEALTH SERVICES LTD,Retail,MADIS RESIDENCE ARS ROAD MARS HOTEL NEW DAWHENYA,NINGO PRAMPRAM,Greater Accra
2867,PC/GR/R/0105M,PRIME PHARMACY,Retail,UNN HSE. - COMMUNITY 25 TEMA,TMA,Greater Accra
2868,PC/GR/R/0199M,PRIME PHARMACY,Retail,H/NO. U5 BAWALESHIE ROAD - EAST LEGON,AMA,Greater Accra
2869,PC/GR/R/0200M,PRIME PHARMACY,Retail,H/NO. C31/14 BLOHUM STREET - DZORWULU,AMA,Greater Accra
2870,PC/GR/R/0184F,PRIME PHARMACY,Retail,"AIRPOT SHELL FILLING STN, AIRPORT CITY, LAGOS AVE, EAST
LEGON EAST-LEGON",AMA,Greater Accra
2871,PC/AS/R/0030H,PRIMED PHARMACY LTD,Retail,H/NO. 9  BLK A EDWENASE KUMASI,KMA,Ashanti
2872,PC/AS/R/0113L,PRIMETIME PHARMACY LTD,Retail,H/NO. I & II/1 - MAXIMA AYIGYA,KMA,Ashanti
2873,PC/WR/WR/0042B,PRIMOSS PHARMACY,Wholesale/Retail,H/NO. MB 18B  MARKET AREA SEFWI ASAWINSO,SEFWI WIAWSO,Western
2874,PC/ER/WR/0150B,PRINCE CARE PHARMACY LTD.,Wholesale/Retail,"H/NO. KNT/B96, - KOFORIDUA ZONGO KOFORIDUA",NEW-JUABENG,Eastern
2875,PC/AS/W/00088,PRINCE CHARLES PHARM. LTD.,Wholesale,"PLOT NO. 46, VI - MBROM KUMASI",KMA,Ashanti
2876,PC/GR/W/0384L,PRINLEX PHARMACY LIMITED,Wholesale,GE-254-0596 ST. JOHN'S ROAD MARKET DOME,GA EAST,Greater Accra
2877,PC/BA/WR/00028,PRISBEN PHARMACY LTD.,Wholesale/Retail,H/NO. BW 1 KWASU ROAD BECHEM BECHEM,TANO SOUTH,Brong Ahafo
2878,PC/GR/R/0196N,PRISTEVE PHARMACY LTD,Retail,UNN. HSE - SAKI GOLF ESTATE KPONE BARRIER,KPONE KATAMANSO,Greater Accra
2879,PC/AS/WR/0059E,PRO-CARE LTD.,Wholesale/Retail,"PLOT 4, BLOCK C, - NEAR PENTECOST CHURCH APIRE-SANTASI",KMA,Ashanti
2880,PC/GR/R/0043D,PRO-HEALTH PHARMACY,Retail,"KINBU ROAD OPPOSITE CIVIL SERVANTS CLINIC MINISTRIES
OSU",AMA,Greater Accra
